Feature	6mer coeff	7mer-m8 coeff	7mer-1a coeff	8mer-1a coeff	6mer min	7mer-m8 min	7mer-1a min	8mer-1a min	6mer max	7mer-m8 max	7mer-1a max	8mer-1a max
Intercept	-1.028086013786556	-1.5179390624728193	-1.959589869069941	-2.266186385268076	0	0	0	0	0	0	0	0
TA	0.20787087150925962	0.19361631594554687	0.33977699461237715	0.21801241771025387	0	0	0	0	1	1	1	1
SPS	-0.007169463397725205	-0.001683227846907919	-0.014407490815122418	0.0005790102800093106	0	0	0	0	1	1	1	1
SA	-0.010899752048659289	-0.04204635589314175	-0.026050696030831006	-0.04578905069701602	0	0	0	0	1	1	1	1
siRNA_1A	-0.01292170616322161	0.010953321848680251	0.02405770539714358	0.02139770076914868	0	0	0	0	1	1	1	1
siRNA_1C	0.00781174357358929	-0.010755035156915949	-0.01928533831577895	0.012389748687328894	0	0	0	0	1	1	1	1
siRNA_1G	0.0	0.0	0.0	0.0	0	0	0	0	1	1	1	1
siRNA_8A	0.007951546572575779	0.06963333832143138	0.02123631280091889	0.08359086817947103	0	0	0	0	1	1	1	1
siRNA_8C	0.024084083920309193	-0.12158887271212424	0.022365272090798666	-0.07639692786698256	0	0	0	0	1	1	1	1
siRNA_8G	0.009805284694306466	0.0285425045703251	0.017790885381615267	0.029601863858677236	0	0	0	0	1	1	1	1
site_8A	0.012794207579832581	0.0	0.010420171933350203	0.0	0	0	0	0	1	1	1	1
site_8G	-0.012772504741674509	0.0	0.002630457570192754	0.0	0	0	0	0	1	1	1	1
site_8C	0.0038020874892764163	0.0	0.031201716959808473	0.0	0	0	0	0	1	1	1	1
Local_AU_score	-0.054098774658551715	-0.1583864992813569	-0.0856605528039729	-0.13536562633189372	0	0	0	0	1	1	1	1
Threep_score	-0.00950249994442101	-0.033948527646411084	-0.020412438081555843	-0.024722010915033416	0	0	0	0	1	1	1	1
Min_dist_score	0.014823055799228916	0.03472374001065384	0.020167995348081832	0.05088274336976628	0	0	0	0	1	1	1	1
UTR_length_score	0.031106188101970286	0.12785431352296167	0.09934145228041218	0.1847988269436009	0	0	0	0	1	1	1	1
ORF_length	0.02628884052543509	0.07833952330012191	0.06885298597157087	0.17335924428975294	0	0	0	0	1	1	1	1
ORF_8mers	-0.036758460510931325	-0.025234423230783287	-0.044131932913315304	0.020808794269859803	0	0	0	0	1	1	1	1
Off6m_score	-0.03568200706443715	-0.07212789586891333	-0.04607146894481691	-0.08873654839017046	0	0	0	0	1	1	1	1
PCT	0.0	-0.21617085289922708	-0.12645383360840962	-0.24955633653179365	0	0	0	0	1	1	1	1
